fr	ewe
Célébration et valorisation des produits locaux, émissions spécialisées sur les médias, création d’un cadre organisationnel entre les producteurs et transformateurs des produits locaux et les supermarchés sont entre autres, les activités qui marqueront ce mois d’octobre	Le ɣleti kele sia me la, woawɔ nyaɖefiawole nyakakadɔwɔmɔnuwo dzi kple gododo hena gɔmeɖoɖoteƒe ɖoɖoanyi hena agbledelawo, nutrɔlawo kple nudzralawo ƒe taliotaŋue.
Togo / Covid-19 : vers la fermeture des bars dans les localités accueillant des fêtes traditionnelles 	Togo/ Koronadɔ: woɖota ahanoƒewo tu ge le du siwo me woɖua dezãwo le na lae.
La crise sanitaire due à la Covid-19 a renforcé le besoin de promouvoir les produits locaux, de la production à la consommation en passant par la transformation	Koronadɔ la nyɔ susu na amewo be wodo denuzazã ɖe dzi tso agbledelawo va eɖulawo dzi to etrɔlawo siaa dzi.
Bien avant cette crise, les ministres en charge du commerce de l’UEMOA s’étaient convenus à Ouagadougou, le 25 octobre 2019, de consacrer le mois d’octobre de chaque année à la consommation des produits du terroir	Do ŋgɔ na dɔ sia la, UEMOA ƒe dudɔnunɔla siwo kpɔa adzɔdonyawo gbɔ la ɖoe le Ouagadougou le kele 26 lia ƒè 2019 lia me be kele ɣletia anyee na denuzazawo ŋkuɖodzi.
Le 26 septembre dans le XVIIe arrondissement de Paris Anne Hidalgo inaugurera un jardin nommé « mulâtresse » Solitude, ainsi qu’une statue consacrée à ladite personne	"Le anyɔnyɔ 26 lia dzi le Paris ƒe kɔmama XVII lia la wokpe abɔ aɖe si dzi woda ŋkɔ ɖo be ""Mulatresse Solitude"" kple kpetata aɖe si wowɔ na nenem me siae."
Le mot «mulâtresse» désignait à l’époque du colonialisme une métisse issue d’un parent blanc et l’autre noir ou de deux parents métissés	"Le amedziɖuŋɔli la ""mulatresse"" nye ame siwo dzi tso yovo kple ameyibɔwo gododo me."
La « mulâtresse » Solitude est une figure historique de la résistance des esclaves noirs de la Guadeloupe	Mulatresse solitude nye Guadeloupetɔ si ʋli vevie le amedziɖuɖuwɔnawo mee.
« Ce sera la première statue de femme noire à Paris », se félicite l’acteur guadeloupéen Jacques Martial, nouvel adjoint chargé des Outre-mer	Jacques Martial si nye nutomedzikpɔla gɔmenɔtɔ si kpɔa dzronyigbawonya gbɔ la kpɔ dzidzɔ be esiae nye ameyibɔ gbãtɔ ƒe kpetata le paris dua me.
Solitude est née vers 1772 du viol d’une esclave africaine par un marin blanc	Yovo melikula aɖee do avu na ameyibɔ nyɔnu wohe dzi solitude le ƒè 1772 lɔƒo.
Elle a été séparée de sa mère et réduite comme domestique lorsqu’un colon a remarqué qu’elle avait la peau et les yeux clairs	Woklãe ɖa tso nɔa ŋu hewɔe aƒemedɔwɔla esi amedziɖula aɖe kpɔe be eƒe agbadze kple ŋkuwo klẽ lae.
Gabon : la dot désormais remboursable en cas de divorceLa femme bénéficie de l’abolition de l’esclavage en 1794	Gabon: ne wogbe nyɔnu aɖe la, edzilawo natrɔ ametabiagbã la na. Wogu amesitsatsa le ƒè 1794 me.
Mais hélas, lorsque huit ans plus tard Bonaparte le rétablit en Guadeloupe, la brave femme, enceinte de quelques mois, se joint à la résistance qui a été vaincue	Ke le Guadeloupe esi Bonaparte ga ɖoe le ƒè enyi megbe la, nyɔnu kalẽtɔ sia si fɔ fu la hã tsi tsitre ke hã woɖu wo dzi.
Au lendemain de son accouchement, elle est pendue	Esi wodzi vi vɔ la, wode ka ve nae le ŋufɔke.
Selon Le Point, la future statue devrait être installée à la place de celle du général Dumas, premier général français ayant des origines afro-antillaises et père de l’écrivain Alexandre Dumas, aujourd’hui disparue	Nyadzɔdzɔgbalẽ Lepoint be kpetata la aɖɔli aʋafiagã Dumas tɔ teƒe, ame sia nye afrikadzidzimevi gbatɔ si nye frãsevi eye wonye nuŋlala Alexandre dumas si megali egbe o mla tɔ́.
Sous l’Occupation, les nazis l’avaient envoyée à la fonte	Le dzamawo ƒe amedziɖuɖu me la, wodoe ɖe gasreƒe.
Se souvenant de ce fait en juin, Édouard Philippe s’est dit «profondément déçu que la République, la IVe d’abord, la Ve ensuite, ne reconstruise pas la statue du général Dumas»	Esi Edouard Philip ɖo ŋu esia dzi le masa me la, ebe evea ye be womegawɔ ŋkuɖodzikpe bubu na aʋafiagã la oe.
La dot est devenue maintenant ‘récupérable’ au Gabon depuis ce mardi 22 septembre 2020 par un vote à l’Assemblée nationale	Sewɔƒe da asi de edzi le Gabon le anyɔnyɔ 22 lia dzi be woagate ŋu axɔ tabiagbã faa.
Une loi portant, le remboursement de la dot en cas de divorce, proposée par le sénateur Ernest Ndassiguikoula, avec pour priorité, la légalisation du mariage coutumier dans le pays a été adoptée	Sewɔƒegãmenɔla Ernest Ndassiguikoula do se sia ɖa be ne ƒomea klã la, ekem woaxe tabiagbã la eye woda asi ɖe esia dzie kple ɖe dekɔnusrɔ̃dede hã dzie.
« Cette loi vise à concilier les pratiques anciennes et modernes	Se sia di be yeana denuwɔnawo kple seyeyetɔwo nanɔ ɖekae.
Les 15 signes qui prouvent que votre relation amoureuse ne va pas durerSelon le texte, c’est conformément aux mœurs et coutumes que l’époux devra s’acquitter du versement de la dot	Nɔnɔme 15 siwo fia be miaƒe srɔɖeƒea mele ŋgɔ yi ge wo lae: se la te gbe dzi be denuwɔna nue ŋugbetɔsrɔ̃ la ana agba ɖoe.
Mais en cas de divorce, « seule la partie de la dot donnée en numéraire peut faire l’objet de remboursement	Ke ne woklã la, agbã ƒe akpa si nye ga asiasi koe woaxe.
Aucun remboursement ne peut être ordonné », a-t-il précisé	Bubu aɖeke makpe ɖe eŋu o.
Toutefois, dans une autre disposition, l’on précise qu’ « aucun remboursement ne peut être ordonné si le divorce est prononcé aux torts exclusifs de l’époux	Wogayi edzi le afi bubu be ne ŋutsua ƒe dẽ baɖae he mamaa va la, ekem fexexe meli o.
si le mariage a duré cinq ans au moins, s’il est issu de cette union au moins un an »	Ke ne srɔgbenɔnɔa xɔ ƒè atɔ̃ teti la.
Commandé chez les Malgaches, le Covid Organics, le remède à base d’Artemisia, est arrivé au Sénégal il y a quelques mois pour être administré aux malades	Covid organics , artemesianutsomenu si wodɔ tso Madagasar la va ɖo Senegal ɣleti aɖewoe nye esia ale be woakɔe ada dɔ na Koronadɔlélawo.
Mais avant toute utilisation dans le pays, les médecins ont jugé nécessaire de faire plusieurs tests pour voir son efficacité	Ke ne woazãe le dua me la, dɔyɔlawo ɖoe be yewoa ka eme kpɔ nyuie hafi.
Dans les colonnettes du journal l’Observateur, le Pr Moussa Seydi, chef de la section des maladies infectieuses à l’hôpital Fann, a annoncé que les résultats des tests des traitements contre le coronavirus à base d’Artemisia n’ont pas été concluants, rapporte Senenews	Le nyadzɔdzɔgbalẽ l'Observateur me la, nufialagã Moussa Seydou sikpɔa dɔxɔlameŋunyawo gbɔ la be atikea mewɔda na amesiwo  ŋu yewodoe kpɔ le la ŋu o.
Pis, il est difficile, selon le scientifique sénégalais, de connaître de manière précise les différentes molécules qui composent la substance	Gawu la Senegal aɖaŋunumekalawo be yewomete ŋu de dsesi dɔyɔnu siwo nɔ amatsia me gobii o.
Il est également remarqué la présence de métaux lourds et de chloroquine dans ce remède malgache	Wobe yewo kpɔ gakponu kpekpẽwo kple chloroquine le nua me .
Coronavirus / Madagascar : le ministre de la santé viré par le président Andry RajoelinaDe ce fait, ce traitement à base d’Artemisia ne sera pas admis dans le protocole de soins des patients atteints de coronavirus au Sénégal	Madagascar/ dukplɔla Andy R nya dudɔnunɔla si kpɔa lãmesẽnyawogbɔ lae: ekem womele covid organics la zã ge le Senegal na ame siwo Koronadɔ a lée o.
L’appel à la désobéissance de Nicolas Bedos concernant les règles sanitaires, en pleine pandémie de la Covid-19, n’a pas manqué de susciter le débat et engendrer des réactions	Nicolas Bedos ƒe yɔyɔ na sedzimawɔmawɔ le dɔa ƒe nyawo me ʋunyaʋunya sɔgbɔ kple nyahehe sɔgbɔ vae.
Quelques heures seulement après la diffusion de son post sur Instagram, le ministre de la Santé, Olivier Véran, en a appelé à la responsabilité de chacun, alors que l’acteur a déclaré ne plus vouloir porter le masque, “quitte à en mourir”	Le gaƒoƒo siwo kplɔ eƒe nya la ɖeɖeɖego le instagram dzi la, dudɔnunɔla Olivier Veran si kpɔa lãmesenyawo gbɔ la be ame ɖe sia ɖe nakpɔ eɖokui gbɔ nyuie ke ɖeka fefewɔla la be yemele nu tsyɔ̃ ge mo o ke esia nate ŋu wu ye faa.
« Dire ‘quitte à en mourir’ est une phrase à l’emporte-pièce qu’on peut lancer sur un blog, sur un compte Instagram, pour faire un effet de tribune, ou c’est peut-être un exutoire personnel », a réagi le ministre	Dudɔnunɔla la be ne wogblɔ be 'nete ŋu ye faa' la nye nya gbl,oe si woate ŋu agblɔ ale be woakpe amewo ɖo alo ameŋunya ko wonye.
« Je pense que dans cette période, il faut être extrêmement attentif, surtout quand on a beaucoup d’écoute autour de soi, à notre façon de nous exprimer, aux messages que nous véhiculons », a ajouté Olivier Véran	Ega yi edzi be ne mienye ame si ame geɖe ɖoa to la, edze be mianya nu fofo le ɣeyiɣi sia me tso nya siwo miaɖe ɖe go la nue.
Dans son post, publié également sur Twitter, Nicolas Bedos estimait que “nos aînés ont besoin de notre tendresse davantage que nos précautions”	Le twitter dzi la, Bedos be mia ŋgɔdolawo hiã miaƒe ŋkuléɖeameŋu wu miaɖokuiwo takpɔkpɔ.
“Vivez à fond, tombez malade” : Nicolas Bedos appelle à désobéir aux nouvelles mesures sanitaires	Ebe minɔ agbe ale si dze eye midze dɔ faa.
Une déclaration à laquelle le ministre de la Santé s’est aussi opposé : « Une société qui déciderait de faire l’impasse sur ses vieux, ses fragiles, ses précaires, sur des morts évitables, ce n’est pas une société dans laquelle j’ai été élevé et dans laquelle j’ai envie d’éduquer mes enfants »	Dudɔnunɔla la ga yi edzi be dzidzime aɖe si metsɔ beléle na ametsitsiwo o kple fɔ̃malé ɖe nu ŋu mee wohe ye le o eye yemele mɔ kpɔm be yeahe yeviwo le esia me o.
” : Nicolas Bedos appelle à désobéir aux nouvelles mesures sanitairesUne déclaration à laquelle le ministre de la Santé s’est aussi opposé : « Une société qui déciderait de faire l’impasse sur ses vieux, ses fragiles, ses précaires, sur des morts évitables, ce n’est pas une société dans laquelle j’ai été élevé et dans laquelle j’ai envie d’éduquer mes enfants »	Nicolas be womegawɔ ɖe sedede kuɖe dɔanyawo dzi o eye dudɔnunɔla la gagblɔ be  dzidzime aɖe si metsɔ beléle na ametsitsiwo o kple fɔ̃malé ɖe nu ŋu mee wohe ye le o eye yemele mɔ kpɔm be yeahe yeviwo le esia me o.
Depuis la proclamation des résultats du BEPC 2020, les moyennes obtenues par certains élèves suscitent l’admiration sur les réseaux sociaux	Tso esime wona BEPCdodokpɔ kɔŋtawo la, dzesi siwo sukuvi aɖewo xɔ nye nukunya na amewo le yaʋala la dzie.
Le premier de la liste vient du Collège privé laïque ALL-SCOOOL dans la région de la Kara avec une moyenne de 20,38	Ame gbãtɔ tso ALL-SCOOOL sukunɔɖokuisi me eye wokpɔ 20,38 ɖe 20 dzi.
Il est suivi de KAGNAOU Essodina du CEG CAMP LANDJA avec 20,29 également issu de la région de la Kara	KAGNAOU Essodina tso CEG CAMP LANDJA dze eyome kple 20,29 eye eyahã tso Kara nutomea ke.
Le trio de tête est bouclé par TCHAA-SANTI Arimiyao du Collège islamique El Nour avec 20,19 de moyenne	Tanɔla etɔawowu nu kple TCHAA-SANTI Arimiyao tso Collège islamique El Nourkple dzesi 20,19.
Le président russe Vladimir Poutine a été proposé pour le prix Nobel de la paix 2021	Wobe woada ŋutifafanunana ɖe dukplɔla V Putine dzi.
Cette candidature est une initiative d’un groupe d’écrivains russes dirigé Sergueï président de la Fondation russe pour l’éducation	Wɔna sia nye Rɔsia du ƒe akameti aɖewo siwokpɔa hehenanyawo gbɔ lae.
Ce jeudi 24 septembre lors d’une conférence de presse, il a confié avoir lettre au Comité Nobel à Oslo	Le yawoɖa anyɔnyɔ 24 lia sia dzi la, Serguei si le nua ta la be yeɖo agbalẽ ɖe dɔgbedeha si kpɔa nya siawo gbɔ la le Oslo.
«Aujourd’hui, c’est en fait ma quatrième proposition pour le prix Nobel de la paix	Esiae nye zi enelia si wole tsiã yem be woada dzesi sia ɖe dzinyee.
Elle a été envoyée le 9 septembre cette année, et le 10 septembre, cette candidature est arrivée au siège du Comité Nobel à Oslo	Wowɔe le anyɔnyɔ asieke lia gbe eye woɖo Oslo le 10 lia gbe.
À 15 h 07, heure locale, ce courrier recommandé a été reçu à Oslo […] et signé par l’un des secrétaires du Comité Nobel	Le ɣetrɔ ga etɔ̃ miniti adrẽ tututu la, agbalẽwɔtɔhɛ sia dze dɔgbedeha nuŋlɔla ɖeka si eye wode asi ete.
Après cette candidature, une réaction folle de la part de la partie américaine est arrivée	Le ŋkɔdaɖi sia megbe la, Amerikatɔwo tsi tsitre ɖe eŋu vevie.
Passé 16 h 00 heure locale, un représentant à Oslo a rapidement écrit presque à la main une candidature et l’a tout de suite soumise pour une nomination au prix de Nobel», raconte-t-il	Wobe hafi woaƒo ɣetrɔ ga ene la, wona ŋkɔ to agbalẽ aɖe si woŋlɔ kple asi la me.
Meghan Markle, serait-elle la nouvelle cible de Donald trump?	Mergan Merklee nye Donal trump ƒe alɔmeɖenu fifia?.
Selon le président de la Fondation russe pour l’éducation, le Comité Nobel accepte les candidatures de septembre à octobre	Le dɔgbedeha la ƒe ɖoɖonu la, woxɔa ŋkɔnana tso anyɔnyɔ yi kele me.
L’organisation les examinera jusqu’au mois de mars puis enverra, en mars et avril, les lettres à tous ceux qui les avaient soumises	Wole wome kage de asi na tedoxe eye tso tedoxe yi afɔfiɛ me la, woaɖo agbalẽ ɖe ame siwo na ŋkɔ la woe.
L’objectif étant de les informer que les candidatures ont été reçues, examinées et enregistrées rapporte Sputnik	Sputnik be wowɔa esia ana ameawo nanya be yewoxɔ ŋkɔawo hede wo agbalẽ mee.
Ce n’est pas la première fois que le président russe est cité pour ce prix	Menye zi gbãtɔe Rɔsiafia la ŋkɔ va be woana dzesi lae o.
Des personnalités du pays l’ont désigné en 2013 pour sa « participation à la résolution du conflit syrien et sa tentative pour arrêter l’invasion militaire de la Syrie par les États-Unis »	Le ƒè 2013 lia me dua ƒe ŋkuta aɖewo bia be woana dzesi siae le eƒe kutrikukiu ɖe ŋtifafa heva le Ryriaʋa la me kple alesi meɖe mɔ́ na Amerikatɔwo woava gba Syria o la ta.
À côté, la candidature de son opposant Alexeï Navalny ainsi que celle du président américain Donald Trump ont aussi été enregistrées	Le etɔa xa wode eƒe tsitretsiɖeameŋula Navalny hã tɔ kple Trump hã tɔ agbalẽ me.
Selon les propos de Sidiki Diabaté, il aurait loué un appartement tout équipé à la jeune dame	Sidiki Diabaté be woɖanya haya xɔ na ɖetugbuia.
S’inquiétant de ne pas avoir de ses nouvelles un jour, il aurait débarqué dans l’appartement à l’improviste et aurait surpris sa dulcinée dans le lit avec un autre homme	Ebe esi yemenɔ eŋkɔ sem gbe ɖeka o la, yeyi ɖe teƒea le emaklã me eye yekpɔ eya kple ŋutsu bubu le dɔdɔm.
Pris de colère, il l’aurait rouée de coups dont les images ont fuité sur les réseaux sociaux, on ne sait pas quelle magie	Eye esi dɔme ve ye la yeƒoe esia ƒe tatawoe ɖitsa la yaʋala dzi to mɔ́ manya aɖe dzi.
Parvenues à la famille, les parents de la jeune femme auraient entrepris un chantage financier si l’artiste ne voulait pas voir son nom sali dans les médias	Esi nya la dze tome na ƒometɔwo la, wodze ga biabia hadzila la ne medzi be yeƒe ŋkɔ naƒoɖi o lae.
Plusieurs millions de francs seront déboursés pour régler à l’amiable la crise	Miliɔn gbogbo aɖewoe yi dzome hafi woti nya la nue.
Mais comme l’appétit vient en mangeant, la famille aurait toujours besoin de l’argent de Sidiki Diabaté	Eye esime detsi ivie xea kplɔ ta la, ƒomea gale sidiki ƒe ga dzim kokoko.
L’homme fatigué du harcèlement familial décida de ne plus rien débourser	Eye esi yometitia le ŋgɔ dem la, eɖuibe yemegale fe aɖeke tu ge o.
France : Olivier Véran s’exprime sur le vaccin russe La suite, on la connaît, les images de l’incident seront publiées dans les médias	Le Frãse, olivier Veran ƒo nu tso rɔsiawo ƒe abui la ŋu eye nya la le dodoge le nyakakadɔwɔlawo nue.
Et aujourd’hui, l’artiste se retrouve en garde à vue	Eye egbe la wole hadzila lae.
Ce sont là les éléments apportés pour la défense de Sidiki Diabaté	Nu siawoe wotsɔ de megbe na sidiki ta ʋiʋli.
Il faut dire que ces éléments soulèvent tout de même des questions	Minyae be nya siawo he biabia geɖe ɖe goe.
En attendant que les résultats de l’enquête ne soient disponibles, Sidiki Diabaté reste confiant et clame toujours son innocence	Hafi ne numekukuawo nuɖeɖe nava la, sidiki be yenye amemaɖifɔ̃ ko.
Contracter la Covid-19 et la grippe simultanément peut s’avérer mortel, alerte le Département de la Santé du Royaume-Uni	Ɛɣlisi dɔwɔƒe si kpɔa lãmesẽnyawo gbɔ be alé Koronadɔ kple ŋɔtitunamedɔ la ahe kú va amedzi fa.
Personnels de santé, sujets âgés, ainsi que toutes personnes dites à risque devraient donc se prémunir contre la grippe, cette année encore plus que d’habitude, affirme un nombre croissant de médecins	Dɔyɔla geɖewo be amewo na lebe na woɖokuiwo veveitɔ dɔyɔlawo, amestitsiwo le ŋɔtitunamedɔ ŋule ƒè sia me.
